,1/13/2021
Timestamp,cbt [mC]
1610549119,37059
1610549120,37059
1610549121,37059
1610549122,37059
1610549123,37059
1610549124,37059
1610549125,37059
1610549126,37059
1610549127,37059
1610549128,37059
1610549129,37059
1610549130,37059
1610549131,37058
1610549132,37058
1610549133,37058
1610549134,37058
1610549135,37058
1610549136,37059
1610549137,37059
1610549138,37059
1610549139,37059
1610549140,37059
1610549141,37059
1610549142,37059
1610549143,37059
1610549144,37059
1610549145,37059
1610549146,37059
1610549147,37059
1610549148,37059
1610549149,37059
1610549150,37059
1610549151,37059
1610549152,37059
1610549153,37059
1610549154,37059
1610549155,37059
1610549156,37059
1610549157,37059
1610549158,37059
1610549159,37059
1610549160,37059
1610549161,37059
1610549162,37059
1610549163,37059
1610549164,37059
1610549165,37059
1610549166,37059
1610549167,37059
1610549168,37059
1610549169,37059
1610549170,37059
1610549171,37059
1610549172,37059
1610549173,37059
1610549174,37059
1610549175,37059
1610549176,37059
1610549177,37053
1610549178,37053
1610549179,37053
1610549180,37053
1610549181,37053
1610549182,37053
1610549183,37053
1610549184,37053
1610549185,37053
1610549186,37053
1610549187,37053
1610549188,37053
1610549189,37053
1610549190,37053
1610549191,37053
1610549192,37053
1610549193,37053
1610549194,37053
1610549195,37053
1610549196,37053
1610549197,37053
1610549198,37053
1610549199,37053
1610549200,37053
1610549201,37053
1610549202,37053
1610549203,37053
1610549204,37053
1610549205,37053
1610549206,37053
1610549207,37053
1610549208,37053
1610549209,37053
1610549210,37053
1610549211,37053
1610549212,37053
1610549213,37053
1610549214,37053
1610549215,37053
1610549216,37053
1610549217,37053
1610549218,37053
1610549219,37053
1610549220,37053
1610549221,37053
1610549222,37053
1610549223,37053
1610549224,37053
1610549225,37053
1610549226,37053
1610549227,37053
1610549228,37053
1610549229,37053
1610549230,37053
1610549231,37053
1610549232,37053
1610549233,37053
1610549234,37053
1610549235,37053
1610549236,37053
1610549237,37048
1610549238,37048
1610549239,37048
1610549240,37048
1610549241,37048
1610549242,37048
1610549243,37048
1610549244,37048
1610549245,37048
1610549246,37048
1610549247,37048
1610549248,37048
1610549249,37048
1610549250,37048
1610549251,37048
1610549252,37048
1610549253,37048
1610549254,37048
1610549255,37048
1610549256,37048
1610549257,37048
1610549258,37048
1610549259,37048
1610549260,37048
1610549261,37048
1610549262,37048
1610549263,37048
1610549264,37048
1610549265,37048
1610549266,37048
1610549267,37048
1610549268,37048
1610549269,37048
1610549270,37048
1610549271,37048
1610549272,37048
1610549273,37048
1610549274,37048
1610549275,37048
1610549276,37048
1610549277,37048
1610549278,37048
1610549279,37048
1610549280,37048
1610549281,37048
1610549282,37048
1610549283,37048
1610549284,37048
1610549285,37048
1610549286,37048
1610549287,37048
1610549288,37049
1610549289,37049
1610549290,37049
1610549291,37049
1610549292,37049
1610549293,37049
1610549294,37049
1610549295,37049
1610549296,37049
1610549297,37044
1610549298,37044
1610549299,37044
1610549300,37044
1610549301,37044
1610549302,37044
1610549303,37044
1610549304,37044
1610549305,37044
1610549306,37044
1610549307,37044
1610549308,37044
1610549309,37044
1610549310,37044
1610549311,37044
1610549312,37044
1610549313,37044
1610549314,37044
1610549315,37044
1610549316,37044
1610549317,37044
1610549318,37044
1610549319,37044
1610549320,37044
1610549321,37044
1610549322,37044
1610549323,37044
1610549324,37044
1610549325,37044
1610549326,37044
1610549327,37044
1610549328,37044
1610549329,37044
1610549330,37044
1610549331,37044
1610549332,37044
1610549333,37044
1610549334,37044
1610549335,37044
1610549336,37044
1610549337,37044
1610549338,37044
1610549339,37044
1610549340,37044
1610549341,37044
1610549342,37044
1610549343,37044
1610549344,37044
1610549345,37044
1610549346,37044
1610549347,37044
1610549348,37044
1610549349,37044
1610549350,37044
1610549351,37044
1610549352,37044
